Trial,Trial Start Date,Urchin_serial_num,Tank,Treatment,Size_cm
1,7/11/24,1,1,Control_KF,6.9
1,7/11/24,2,1,Control_KF,6
1,7/11/24,3,1,Control_KF,5.9
1,7/11/24,4,1,Control_KF,4.3
1,7/11/24,5,1,Control_KF,6.5
1,7/11/24,6,1,Control_KF,6
1,7/11/24,7,1,Control_KF,5.5
1,7/11/24,8,1,Control_KF,5.4
1,7/11/24,9,1,Control_KF,5.8
1,7/11/24,10,1,Control_KF,6
1,7/11/24,11,1,Control_KF,6.6
1,7/11/24,12,1,Control_KF,6
1,7/11/24,13,1,Control_KF,6.5
1,7/11/24,14,1,Control_KF,6.6
1,7/11/24,15,1,Control_KF,6.8
1,7/11/24,16,1,Control_KF,6.5
1,7/11/24,17,1,Control_KF,7
1,7/11/24,18,1,Control_KF,5.5
1,7/11/24,19,1,Control_KF,5.2
1,7/11/24,20,1,Control_KF,6.5
1,7/11/24,21,1,Control_KF,6.3
1,7/11/24,22,1,Control_KF,6.9
1,7/11/24,23,1,Control_KF,6
1,7/11/24,24,1,Control_KF,5.9
1,7/11/24,1,2,Star_KF,6.5
1,7/11/24,2,2,Star_KF,5.5
1,7/11/24,3,2,Star_KF,5
1,7/11/24,4,2,Star_KF,6
1,7/11/24,5,2,Star_KF,6.5
1,7/11/24,6,2,Star_KF,4.3
1,7/11/24,7,2,Star_KF,6
1,7/11/24,8,2,Star_KF,6
1,7/11/24,9,2,Star_KF,7.3
1,7/11/24,10,2,Star_KF,5.2
1,7/11/24,11,2,Star_KF,6.3
1,7/11/24,12,2,Star_KF,5
1,7/11/24,13,2,Star_KF,6.6
1,7/11/24,14,2,Star_KF,7.5
1,7/11/24,15,2,Star_KF,5
1,7/11/24,16,2,Star_KF,6.5
1,7/11/24,17,2,Star_KF,6
1,7/11/24,18,2,Star_KF,7.5
1,7/11/24,19,2,Star_KF,5.5
1,7/11/24,20,2,Star_KF,7
1,7/11/24,21,2,Star_KF,4.5
1,7/11/24,22,2,Star_KF,6.5
1,7/11/24,23,2,Star_KF,6
1,7/11/24,24,2,Star_KF,4.3
1,7/11/24,1,3,Star_B,5
1,7/11/24,2,3,Star_B,5.5
1,7/11/24,3,3,Star_B,6
1,7/11/24,4,3,Star_B,5
1,7/11/24,5,3,Star_B,6.9
1,7/11/24,6,3,Star_B,5.7
1,7/11/24,7,3,Star_B,6.5
1,7/11/24,8,3,Star_B,6
1,7/11/24,9,3,Star_B,5.2
1,7/11/24,10,3,Star_B,6
1,7/11/24,11,3,Star_B,6
1,7/11/24,12,3,Star_B,6.5
1,7/11/24,13,3,Star_B,6.5
1,7/11/24,14,3,Star_B,7.5
1,7/11/24,15,3,Star_B,6
1,7/11/24,16,3,Star_B,7
1,7/11/24,17,3,Star_B,5
1,7/11/24,18,3,Star_B,6
1,7/11/24,19,3,Star_B,6
1,7/11/24,20,3,Star_B,5.5
1,7/11/24,21,3,Star_B,6
1,7/11/24,22,3,Star_B,5.5
1,7/11/24,23,3,Star_B,5.5
1,7/11/24,24,3,Star_B,6.5
1,7/11/24,1,4,Control_B,5
1,7/11/24,2,4,Control_B,4.5
1,7/11/24,3,4,Control_B,6
1,7/11/24,4,4,Control_B,7
1,7/11/24,5,4,Control_B,7.5
1,7/11/24,6,4,Control_B,7
1,7/11/24,7,4,Control_B,6.5
1,7/11/24,8,4,Control_B,7
1,7/11/24,9,4,Control_B,5
1,7/11/24,10,4,Control_B,7.5
1,7/11/24,11,4,Control_B,7.3
1,7/11/24,12,4,Control_B,7
1,7/11/24,13,4,Control_B,7.3
1,7/11/24,14,4,Control_B,5.5
1,7/11/24,15,4,Control_B,6.6
1,7/11/24,16,4,Control_B,6
1,7/11/24,17,4,Control_B,5
1,7/11/24,18,4,Control_B,5
1,7/11/24,19,4,Control_B,5.5
1,7/11/24,20,4,Control_B,5.5
1,7/11/24,21,4,Control_B,5.5
1,7/11/24,22,4,Control_B,5.5
1,7/11/24,23,4,Control_B,4.5
1,7/11/24,24,4,Control_B,5
2,7/15/24,1,1,Star_B,6.2
2,7/15/24,2,1,Star_B,5.5
2,7/15/24,3,1,Star_B,4.5
2,7/15/24,4,1,Star_B,4.5
2,7/15/24,5,1,Star_B,4.8
2,7/15/24,6,1,Star_B,5.3
2,7/15/24,7,1,Star_B,6.2
2,7/15/24,8,1,Star_B,5.2
2,7/15/24,9,1,Star_B,5.3
2,7/15/24,10,1,Star_B,5.1
2,7/15/24,11,1,Star_B,6.4
2,7/15/24,12,1,Star_B,5
2,7/15/24,13,1,Star_B,4.9
2,7/15/24,14,1,Star_B,5
2,7/15/24,15,1,Star_B,4.4
2,7/15/24,16,1,Star_B,4
2,7/15/24,17,1,Star_B,5.5
2,7/15/24,18,1,Star_B,4.7
2,7/15/24,19,1,Star_B,5.4
2,7/15/24,20,1,Star_B,5.9
2,7/15/24,21,1,Star_B,5.8
2,7/15/24,22,1,Star_B,5
2,7/15/24,23,1,Star_B,4.5
2,7/15/24,24,1,Star_B,6
2,7/15/24,1,2,Control_B,4.5
2,7/15/24,2,2,Control_B,5
2,7/15/24,3,2,Control_B,5.5
2,7/15/24,4,2,Control_B,4.5
2,7/15/24,5,2,Control_B,5.1
2,7/15/24,6,2,Control_B,4
2,7/15/24,7,2,Control_B,5.2
2,7/15/24,8,2,Control_B,5.4
2,7/15/24,9,2,Control_B,5.1
2,7/15/24,10,2,Control_B,4.5
2,7/15/24,11,2,Control_B,5.9
2,7/15/24,12,2,Control_B,6
2,7/15/24,13,2,Control_B,6.1
2,7/15/24,14,2,Control_B,4.3
2,7/15/24,15,2,Control_B,5.3
2,7/15/24,16,2,Control_B,5
2,7/15/24,17,2,Control_B,4.5
2,7/15/24,18,2,Control_B,6
2,7/15/24,19,2,Control_B,5.5
2,7/15/24,20,2,Control_B,4.8
2,7/15/24,21,2,Control_B,5.7
2,7/15/24,22,2,Control_B,5.5
2,7/15/24,23,2,Control_B,6.3
2,7/15/24,24,2,Control_B,5.5
2,7/15/24,1,3,Control_KF,5
2,7/15/24,2,3,Control_KF,6.3
2,7/15/24,3,3,Control_KF,5.8
2,7/15/24,4,3,Control_KF,5.5
2,7/15/24,5,3,Control_KF,7.3
2,7/15/24,6,3,Control_KF,6.2
2,7/15/24,7,3,Control_KF,6.1
2,7/15/24,8,3,Control_KF,6.6
2,7/15/24,9,3,Control_KF,7
2,7/15/24,10,3,Control_KF,5.7
2,7/15/24,11,3,Control_KF,4.5
2,7/15/24,12,3,Control_KF,5
2,7/15/24,13,3,Control_KF,7
2,7/15/24,14,3,Control_KF,6.8
2,7/15/24,15,3,Control_KF,5.6
2,7/15/24,16,3,Control_KF,6.5
2,7/15/24,17,3,Control_KF,6.8
2,7/15/24,18,3,Control_KF,7.5
2,7/15/24,19,3,Control_KF,7.1
2,7/15/24,20,3,Control_KF,7.7
2,7/15/24,21,3,Control_KF,5.5
2,7/15/24,22,3,Control_KF,7.1
2,7/15/24,23,3,Control_KF,6.7
2,7/15/24,24,3,Control_KF,6.5
2,7/15/24,1,4,Star_KF,7
2,7/15/24,2,4,Star_KF,7.2
2,7/15/24,3,4,Star_KF,6.3
2,7/15/24,4,4,Star_KF,6.4
2,7/15/24,5,4,Star_KF,6.8
2,7/15/24,6,4,Star_KF,5.7
2,7/15/24,7,4,Star_KF,4.9
2,7/15/24,8,4,Star_KF,5
2,7/15/24,9,4,Star_KF,6.8
2,7/15/24,10,4,Star_KF,7
2,7/15/24,11,4,Star_KF,6.5
2,7/15/24,12,4,Star_KF,6.8
2,7/15/24,13,4,Star_KF,6.6
2,7/15/24,14,4,Star_KF,7
2,7/15/24,15,4,Star_KF,7
2,7/15/24,16,4,Star_KF,7.3
2,7/15/24,17,4,Star_KF,6
2,7/15/24,18,4,Star_KF,6.5
2,7/15/24,19,4,Star_KF,6.4
2,7/15/24,20,4,Star_KF,6.2
2,7/15/24,21,4,Star_KF,6.4
2,7/15/24,22,4,Star_KF,7.3
2,7/15/24,23,4,Star_KF,6.5
2,7/15/24,24,4,Star_KF,8.3
5,7/25/24,1,1,Star_B,7
5,7/25/24,2,1,Star_B,4
5,7/25/24,3,1,Star_B,4
5,7/25/24,4,1,Star_B,8
5,7/25/24,5,1,Star_B,4.5
5,7/25/24,6,1,Star_B,5
5,7/25/24,7,1,Star_B,3
5,7/25/24,8,1,Star_B,5
5,7/25/24,9,1,Star_B,4
5,7/25/24,10,1,Star_B,4
5,7/25/24,11,1,Star_B,4
5,7/25/24,12,1,Star_B,4
5,7/25/24,13,1,Star_B,8.5
5,7/25/24,14,1,Star_B,4
5,7/25/24,15,1,Star_B,5
5,7/25/24,16,1,Star_B,6
5,7/25/24,17,1,Star_B,5
5,7/25/24,18,1,Star_B,4
5,7/25/24,19,1,Star_B,5
5,7/25/24,20,1,Star_B,5
5,7/25/24,21,1,Star_B,5
5,7/25/24,22,1,Star_B,5
5,7/25/24,23,1,Star_B,5
5,7/25/24,24,1,Star_B,5.5
5,7/25/24,1,2,Star_KF,8
5,7/25/24,2,2,Star_KF,9
5,7/25/24,3,2,Star_KF,6
5,7/25/24,4,2,Star_KF,6
5,7/25/24,5,2,Star_KF,7
5,7/25/24,6,2,Star_KF,9
5,7/25/24,7,2,Star_KF,7
5,7/25/24,8,2,Star_KF,8
5,7/25/24,9,2,Star_KF,8
5,7/25/24,10,2,Star_KF,8
5,7/25/24,11,2,Star_KF,7.5
5,7/25/24,12,2,Star_KF,7.5
5,7/25/24,13,2,Star_KF,10
5,7/25/24,14,2,Star_KF,8
5,7/25/24,15,2,Star_KF,7
5,7/25/24,16,2,Star_KF,8
5,7/25/24,17,2,Star_KF,6
5,7/25/24,18,2,Star_KF,7
5,7/25/24,19,2,Star_KF,6
5,7/25/24,20,2,Star_KF,8
5,7/25/24,21,2,Star_KF,5
5,7/25/24,22,2,Star_KF,7
5,7/25/24,23,2,Star_KF,7
5,7/25/24,24,2,Star_KF,8
5,7/25/24,1,3,Control_B,5
5,7/25/24,2,3,Control_B,4
5,7/25/24,3,3,Control_B,4.5
5,7/25/24,4,3,Control_B,4
5,7/25/24,5,3,Control_B,4
5,7/25/24,6,3,Control_B,5
5,7/25/24,7,3,Control_B,4.5
5,7/25/24,8,3,Control_B,5
5,7/25/24,9,3,Control_B,5
5,7/25/24,10,3,Control_B,8
5,7/25/24,11,3,Control_B,7
5,7/25/24,12,3,Control_B,5
5,7/25/24,13,3,Control_B,5
5,7/25/24,14,3,Control_B,4
5,7/25/24,15,3,Control_B,5
5,7/25/24,16,3,Control_B,5
5,7/25/24,17,3,Control_B,3
5,7/25/24,18,3,Control_B,5
5,7/25/24,19,3,Control_B,5
5,7/25/24,20,3,Control_B,6
5,7/25/24,21,3,Control_B,5
5,7/25/24,22,3,Control_B,4
5,7/25/24,23,3,Control_B,5
5,7/25/24,24,3,Control_B,5
5,7/25/24,1,4,Control_KF,7
5,7/25/24,2,4,Control_KF,6
5,7/25/24,3,4,Control_KF,4
5,7/25/24,4,4,Control_KF,8
5,7/25/24,5,4,Control_KF,7
5,7/25/24,6,4,Control_KF,6
5,7/25/24,7,4,Control_KF,7
5,7/25/24,8,4,Control_KF,6
5,7/25/24,9,4,Control_KF,6
5,7/25/24,10,4,Control_KF,6.5
5,7/25/24,11,4,Control_KF,6
5,7/25/24,12,4,Control_KF,5
5,7/25/24,13,4,Control_KF,4
5,7/25/24,14,4,Control_KF,6
5,7/25/24,15,4,Control_KF,4
5,7/25/24,16,4,Control_KF,6
5,7/25/24,17,4,Control_KF,6
5,7/25/24,18,4,Control_KF,6
5,7/25/24,19,4,Control_KF,8
5,7/25/24,20,4,Control_KF,6
5,7/25/24,21,4,Control_KF,7
5,7/25/24,22,4,Control_KF,4
5,7/25/24,23,4,Control_KF,6
5,7/25/24,24,4,Control_KF,6
6,7/29/24,1,2,Control_KF,4
6,7/29/24,2,2,Control_KF,7
6,7/29/24,3,2,Control_KF,5.5
6,7/29/24,4,2,Control_KF,6
6,7/29/24,5,2,Control_KF,5
6,7/29/24,6,2,Control_KF,6
6,7/29/24,7,2,Control_KF,5
6,7/29/24,8,2,Control_KF,5
6,7/29/24,9,2,Control_KF,8
6,7/29/24,10,2,Control_KF,6
6,7/29/24,11,2,Control_KF,6
6,7/29/24,12,2,Control_KF,6
6,7/29/24,13,2,Control_KF,6
6,7/29/24,14,2,Control_KF,6
6,7/29/24,15,2,Control_KF,5
6,7/29/24,16,2,Control_KF,6
6,7/29/24,17,2,Control_KF,6
6,7/29/24,18,2,Control_KF,5.5
6,7/29/24,19,2,Control_KF,6.5
6,7/29/24,20,2,Control_KF,8
6,7/29/24,21,2,Control_KF,8.5
6,7/29/24,22,2,Control_KF,10
6,7/29/24,23,2,Control_KF,8
6,7/29/24,24,2,Control_KF,4.5
6,7/29/24,1,3,Star_KF,6
6,7/29/24,2,3,Star_KF,7
6,7/29/24,3,3,Star_KF,4.5
6,7/29/24,4,3,Star_KF,6
6,7/29/24,5,3,Star_KF,6
6,7/29/24,6,3,Star_KF,6.5
6,7/29/24,7,3,Star_KF,6
6,7/29/24,8,3,Star_KF,7.5
6,7/29/24,9,3,Star_KF,7
6,7/29/24,10,3,Star_KF,7.5
6,7/29/24,11,3,Star_KF,5
6,7/29/24,12,3,Star_KF,5
6,7/29/24,13,3,Star_KF,5.5
6,7/29/24,14,3,Star_KF,6
6,7/29/24,15,3,Star_KF,7
6,7/29/24,16,3,Star_KF,7.5
6,7/29/24,17,3,Star_KF,5
6,7/29/24,18,3,Star_KF,7
6,7/29/24,19,3,Star_KF,7
6,7/29/24,20,3,Star_KF,7
6,7/29/24,21,3,Star_KF,7
6,7/29/24,22,3,Star_KF,6.5
6,7/29/24,23,3,Star_KF,7
6,7/29/24,24,3,Star_KF,7
6,7/29/24,1,1,Control_B,5
6,7/29/24,2,1,Control_B,6
6,7/29/24,3,1,Control_B,7
6,7/29/24,4,1,Control_B,6
6,7/29/24,5,1,Control_B,5.5
6,7/29/24,6,1,Control_B,5.5
6,7/29/24,7,1,Control_B,4.5
6,7/29/24,8,1,Control_B,4.5
6,7/29/24,9,1,Control_B,6
6,7/29/24,10,1,Control_B,6
6,7/29/24,11,1,Control_B,6.5
6,7/29/24,12,1,Control_B,6
6,7/29/24,13,1,Control_B,5.5
6,7/29/24,14,1,Control_B,6
6,7/29/24,15,1,Control_B,6.5
6,7/29/24,16,1,Control_B,6
6,7/29/24,17,1,Control_B,5.5
6,7/29/24,18,1,Control_B,7
6,7/29/24,19,1,Control_B,7
6,7/29/24,20,1,Control_B,6
6,7/29/24,21,1,Control_B,5.5
6,7/29/24,22,1,Control_B,7
6,7/29/24,23,1,Control_B,5.5
6,7/29/24,24,1,Control_B,4.5
6,7/29/24,1,4,Star_B,5
6,7/29/24,2,4,Star_B,5
6,7/29/24,3,4,Star_B,5.5
6,7/29/24,4,4,Star_B,7
6,7/29/24,5,4,Star_B,6
6,7/29/24,6,4,Star_B,6
6,7/29/24,7,4,Star_B,8
6,7/29/24,8,4,Star_B,7
6,7/29/24,9,4,Star_B,7
6,7/29/24,10,4,Star_B,5.5
6,7/29/24,11,4,Star_B,6.5
6,7/29/24,12,4,Star_B,6
6,7/29/24,13,4,Star_B,8
6,7/29/24,14,4,Star_B,5.5
6,7/29/24,15,4,Star_B,6
6,7/29/24,16,4,Star_B,5
6,7/29/24,17,4,Star_B,6.5
6,7/29/24,18,4,Star_B,5
6,7/29/24,19,4,Star_B,4.5
6,7/29/24,20,4,Star_B,5
6,7/29/24,21,4,Star_B,5
6,7/29/24,22,4,Star_B,5
6,7/29/24,23,4,Star_B,4
6,7/29/24,24,4,Star_B,5.5
8,8/6/24,1,1,Control_B,4
8,8/6/24,2,1,Control_B,4
8,8/6/24,3,1,Control_B,4
8,8/6/24,4,1,Control_B,6
8,8/6/24,5,1,Control_B,5
8,8/6/24,6,1,Control_B,5
8,8/6/24,7,1,Control_B,3.5
8,8/6/24,8,1,Control_B,5.5
8,8/6/24,9,1,Control_B,5
8,8/6/24,10,1,Control_B,5
8,8/6/24,11,1,Control_B,5
8,8/6/24,12,1,Control_B,4.5
8,8/6/24,13,1,Control_B,6
8,8/6/24,14,1,Control_B,5.5
8,8/6/24,15,1,Control_B,4.5
8,8/6/24,16,1,Control_B,4
8,8/6/24,17,1,Control_B,4
8,8/6/24,18,1,Control_B,4.5
8,8/6/24,19,1,Control_B,5.5
8,8/6/24,20,1,Control_B,6
8,8/6/24,21,1,Control_B,5
8,8/6/24,22,1,Control_B,5.5
8,8/6/24,23,1,Control_B,5
8,8/6/24,24,1,Control_B,4.5
8,8/6/24,1,2,Star_B,4.5
8,8/6/24,2,2,Star_B,8
8,8/6/24,3,2,Star_B,4.5
8,8/6/24,4,2,Star_B,4
8,8/6/24,5,2,Star_B,4.5
8,8/6/24,6,2,Star_B,6
8,8/6/24,7,2,Star_B,5
8,8/6/24,8,2,Star_B,3.5
8,8/6/24,9,2,Star_B,4.5
8,8/6/24,10,2,Star_B,4
8,8/6/24,11,2,Star_B,5
8,8/6/24,12,2,Star_B,5
8,8/6/24,13,2,Star_B,6
8,8/6/24,14,2,Star_B,6
8,8/6/24,15,2,Star_B,3.5
8,8/6/24,16,2,Star_B,6
8,8/6/24,17,2,Star_B,4
8,8/6/24,18,2,Star_B,4.5
8,8/6/24,19,2,Star_B,6.5
8,8/6/24,20,2,Star_B,4
8,8/6/24,21,2,Star_B,5
8,8/6/24,22,2,Star_B,6
8,8/6/24,23,2,Star_B,5
8,8/6/24,24,2,Star_B,5.5
8,8/6/24,1,3,Star_KF,4.5
8,8/6/24,2,3,Star_KF,8
8,8/6/24,3,3,Star_KF,7.5
8,8/6/24,4,3,Star_KF,6.5
8,8/6/24,5,3,Star_KF,6.5
8,8/6/24,6,3,Star_KF,7
8,8/6/24,7,3,Star_KF,5
8,8/6/24,8,3,Star_KF,6
8,8/6/24,9,3,Star_KF,6
8,8/6/24,10,3,Star_KF,6
8,8/6/24,11,3,Star_KF,5
8,8/6/24,12,3,Star_KF,6
8,8/6/24,13,3,Star_KF,6
8,8/6/24,14,3,Star_KF,6.5
8,8/6/24,15,3,Star_KF,6
8,8/6/24,16,3,Star_KF,7
8,8/6/24,17,3,Star_KF,6
8,8/6/24,18,3,Star_KF,6
8,8/6/24,19,3,Star_KF,7.5
8,8/6/24,20,3,Star_KF,6.5
8,8/6/24,21,3,Star_KF,6
8,8/6/24,22,3,Star_KF,8
8,8/6/24,23,3,Star_KF,7
8,8/6/24,24,3,Star_KF,6.5
8,8/6/24,1,4,Control_KF,5
8,8/6/24,2,4,Control_KF,5.5
8,8/6/24,3,4,Control_KF,4.5
8,8/6/24,4,4,Control_KF,6
8,8/6/24,5,4,Control_KF,5.5
8,8/6/24,6,4,Control_KF,4
8,8/6/24,7,4,Control_KF,7
8,8/6/24,8,4,Control_KF,6
8,8/6/24,9,4,Control_KF,8
8,8/6/24,10,4,Control_KF,7
8,8/6/24,11,4,Control_KF,4.5
8,8/6/24,12,4,Control_KF,8
8,8/6/24,13,4,Control_KF,6.5
8,8/6/24,14,4,Control_KF,6
8,8/6/24,15,4,Control_KF,5
8,8/6/24,16,4,Control_KF,6.5
8,8/6/24,17,4,Control_KF,4
8,8/6/24,18,4,Control_KF,4.5
8,8/6/24,19,4,Control_KF,6
8,8/6/24,20,4,Control_KF,6
8,8/6/24,21,4,Control_KF,6
8,8/6/24,22,4,Control_KF,6
8,8/6/24,23,4,Control_KF,6
8,8/6/24,24,4,Control_KF,6
10,8/15/2024,1,1,Control_KF,3
10,8/15/2024,2,1,Control_KF,5
10,8/15/2024,3,1,Control_KF,6.5
10,8/15/2024,4,1,Control_KF,6
10,8/15/2024,5,1,Control_KF,5
10,8/15/2024,6,1,Control_KF,6
10,8/15/2024,7,1,Control_KF,5
10,8/15/2024,8,1,Control_KF,5
10,8/15/2024,9,1,Control_KF,5.5
10,8/15/2024,10,1,Control_KF,5.5
10,8/15/2024,11,1,Control_KF,5
10,8/15/2024,12,1,Control_KF,6.5
10,8/15/2024,13,1,Control_KF,6
10,8/15/2024,14,1,Control_KF,6
10,8/15/2024,15,1,Control_KF,6
10,8/15/2024,16,1,Control_KF,5.5
10,8/15/2024,17,1,Control_KF,5.5
10,8/15/2024,18,1,Control_KF,5
10,8/15/2024,19,1,Control_KF,6
10,8/15/2024,20,1,Control_KF,5.5
10,8/15/2024,21,1,Control_KF,5
10,8/15/2024,22,1,Control_KF,5
10,8/15/2024,23,1,Control_KF,5
10,8/15/2024,24,1,Control_KF,5
10,8/15/2024,1,2,Star_KF,5
10,8/15/2024,2,2,Star_KF,5.5
10,8/15/2024,3,2,Star_KF,6
10,8/15/2024,4,2,Star_KF,6
10,8/15/2024,5,2,Star_KF,7
10,8/15/2024,6,2,Star_KF,6
10,8/15/2024,7,2,Star_KF,5
10,8/15/2024,8,2,Star_KF,6
10,8/15/2024,9,2,Star_KF,6
10,8/15/2024,10,2,Star_KF,6
10,8/15/2024,11,2,Star_KF,8
10,8/15/2024,12,2,Star_KF,7
10,8/15/2024,13,2,Star_KF,5
10,8/15/2024,14,2,Star_KF,5.5
10,8/15/2024,15,2,Star_KF,7
10,8/15/2024,16,2,Star_KF,4
10,8/15/2024,17,2,Star_KF,5.5
10,8/15/2024,18,2,Star_KF,6
10,8/15/2024,19,2,Star_KF,5.5
10,8/15/2024,20,2,Star_KF,6
10,8/15/2024,21,2,Star_KF,6
10,8/15/2024,22,2,Star_KF,6
10,8/15/2024,23,2,Star_KF,5
10,8/15/2024,24,2,Star_KF,7
10,8/15/2024,1,3,Control_B,5
10,8/15/2024,2,3,Control_B,5
10,8/15/2024,3,3,Control_B,5
10,8/15/2024,4,3,Control_B,4.5
10,8/15/2024,5,3,Control_B,5
10,8/15/2024,6,3,Control_B,5
10,8/15/2024,7,3,Control_B,3.5
10,8/15/2024,8,3,Control_B,4
10,8/15/2024,9,3,Control_B,7
10,8/15/2024,10,3,Control_B,4.5
10,8/15/2024,11,3,Control_B,5.5
10,8/15/2024,12,3,Control_B,4
10,8/15/2024,13,3,Control_B,4
10,8/15/2024,14,3,Control_B,4
10,8/15/2024,15,3,Control_B,5
10,8/15/2024,16,3,Control_B,4
10,8/15/2024,17,3,Control_B,4.5
10,8/15/2024,18,3,Control_B,6.5
10,8/15/2024,19,3,Control_B,4.5
10,8/15/2024,20,3,Control_B,4
10,8/15/2024,21,3,Control_B,4
10,8/15/2024,22,3,Control_B,5
10,8/15/2024,23,3,Control_B,6
10,8/15/2024,24,3,Control_B,4
10,8/15/2024,1,4,Star_B,5
10,8/15/2024,2,4,Star_B,6
10,8/15/2024,3,4,Star_B,5.5
10,8/15/2024,4,4,Star_B,5.5
10,8/15/2024,5,4,Star_B,4
10,8/15/2024,6,4,Star_B,4
10,8/15/2024,7,4,Star_B,5
10,8/15/2024,8,4,Star_B,4
10,8/15/2024,9,4,Star_B,5
10,8/15/2024,10,4,Star_B,7
10,8/15/2024,11,4,Star_B,4
10,8/15/2024,12,4,Star_B,4
10,8/15/2024,13,4,Star_B,5
10,8/15/2024,14,4,Star_B,3
10,8/15/2024,15,4,Star_B,6
10,8/15/2024,16,4,Star_B,5
10,8/15/2024,17,4,Star_B,4
10,8/15/2024,18,4,Star_B,4.5
10,8/15/2024,19,4,Star_B,7
10,8/15/2024,20,4,Star_B,5
10,8/15/2024,21,4,Star_B,5
10,8/15/2024,22,4,Star_B,5
10,8/15/2024,23,4,Star_B,6.5
10,8/15/2024,24,4,Star_B,5
11,8/20/24,1,1,Star_KF,6.5
11,8/20/24,2,1,Star_KF,6
11,8/20/24,3,1,Star_KF,6.5
11,8/20/24,4,1,Star_KF,4.5
11,8/20/24,5,1,Star_KF,5
11,8/20/24,6,1,Star_KF,6.5
11,8/20/24,7,1,Star_KF,7
11,8/20/24,8,1,Star_KF,7.5
11,8/20/24,9,1,Star_KF,4
11,8/20/24,10,1,Star_KF,6
11,8/20/24,11,1,Star_KF,6
11,8/20/24,12,1,Star_KF,6
11,8/20/24,13,1,Star_KF,5
11,8/20/24,14,1,Star_KF,5
11,8/20/24,15,1,Star_KF,7
11,8/20/24,16,1,Star_KF,5.5
11,8/20/24,17,1,Star_KF,4
11,8/20/24,18,1,Star_KF,5
11,8/20/24,19,1,Star_KF,5
11,8/20/24,20,1,Star_KF,6
11,8/20/24,21,1,Star_KF,5
11,8/20/24,22,1,Star_KF,6
11,8/20/24,23,1,Star_KF,6
11,8/20/24,24,1,Star_KF,4.5
11,8/20/24,1,2,Star_B,4
11,8/20/24,2,2,Star_B,5
11,8/20/24,3,2,Star_B,5
11,8/20/24,4,2,Star_B,5.5
11,8/20/24,5,2,Star_B,6
11,8/20/24,6,2,Star_B,4.5
11,8/20/24,7,2,Star_B,6
11,8/20/24,8,2,Star_B,5
11,8/20/24,9,2,Star_B,4.5
11,8/20/24,10,2,Star_B,6
11,8/20/24,11,2,Star_B,6
11,8/20/24,12,2,Star_B,4.5
11,8/20/24,13,2,Star_B,4.5
11,8/20/24,14,2,Star_B,6
11,8/20/24,15,2,Star_B,6
11,8/20/24,16,2,Star_B,5
11,8/20/24,17,2,Star_B,4
11,8/20/24,18,2,Star_B,5
11,8/20/24,19,2,Star_B,5.5
11,8/20/24,20,2,Star_B,6
11,8/20/24,21,2,Star_B,5
11,8/20/24,22,2,Star_B,6.5
11,8/20/24,23,2,Star_B,5
11,8/20/24,24,2,Star_B,5.5
11,8/20/24,1,3,Control_KF,9
11,8/20/24,2,3,Control_KF,6
11,8/20/24,3,3,Control_KF,4
11,8/20/24,4,3,Control_KF,5.5
11,8/20/24,5,3,Control_KF,5
11,8/20/24,6,3,Control_KF,5
11,8/20/24,7,3,Control_KF,7
11,8/20/24,8,3,Control_KF,5
11,8/20/24,9,3,Control_KF,6
11,8/20/24,10,3,Control_KF,6
11,8/20/24,11,3,Control_KF,5.5
11,8/20/24,12,3,Control_KF,6.5
11,8/20/24,13,3,Control_KF,6.5
11,8/20/24,14,3,Control_KF,5
11,8/20/24,15,3,Control_KF,6
11,8/20/24,16,3,Control_KF,6
11,8/20/24,17,3,Control_KF,4.5
11,8/20/24,18,3,Control_KF,4.5
11,8/20/24,19,3,Control_KF,6
11,8/20/24,20,3,Control_KF,6.5
11,8/20/24,21,3,Control_KF,7.5
11,8/20/24,22,3,Control_KF,5.5
11,8/20/24,23,3,Control_KF,5
11,8/20/24,24,3,Control_KF,6
11,8/20/24,1,4,Control_B,6
11,8/20/24,2,4,Control_B,4
11,8/20/24,3,4,Control_B,5
11,8/20/24,4,4,Control_B,6
11,8/20/24,5,4,Control_B,6
11,8/20/24,6,4,Control_B,4.5
11,8/20/24,7,4,Control_B,5.5
11,8/20/24,8,4,Control_B,4
11,8/20/24,9,4,Control_B,6
11,8/20/24,10,4,Control_B,6
11,8/20/24,11,4,Control_B,5.5
11,8/20/24,12,4,Control_B,6.5
11,8/20/24,13,4,Control_B,7
11,8/20/24,14,4,Control_B,6
11,8/20/24,15,4,Control_B,6
11,8/20/24,16,4,Control_B,5.5
11,8/20/24,17,4,Control_B,7.5
11,8/20/24,18,4,Control_B,5
11,8/20/24,19,4,Control_B,4.5
11,8/20/24,20,4,Control_B,5.5
11,8/20/24,21,4,Control_B,6
11,8/20/24,22,4,Control_B,4.5
11,8/20/24,23,4,Control_B,4
11,8/20/24,24,4,Control_B,4.5