Trial,Urchin_treatment,Pycno tote,Pycno name,Radius_cm,Wet_weight_g,Notes
1,KF,6,Small,16,334,
1,KF,6,Big,20,1000,(maxxed weighing scale)
1,B,7,Small,11,153.2,
1,B,7,Big,,,
2,KF,5,Orange,11.5,385,
2,KF,5,Brown,12,243.7,
2,B,4,Orange,13.5,546.8,
2,B,4,Brown,14,525.2,
3,KF,NA,Big,,,
3,KF,1,Small,11.5,220.9,
3,B,,Big,,,
3,B,,Small,,,
4,KF,9,Big,21,1000,(maxxed weighing scale)
4,KF,9,Small,,,
4,B,2,Big,,,
4,B,2,Small,9.5,331,
5,KF,3,Big,23,,
5,KF,3,Small,,,
5,B,8,Big,,,
5,B,8,Small,11.5,220.9,
6,KF,6,Big,20,1000,(maxxed weighing scale)
6,KF,6,Small,16,334,
6,B,7,Big,,,
6,B,7,Small,11,153.2,
7,KF,5,Orange,11.5,385,
7,KF,5,Brown,12,243.7,
7,B,4,Orange,13.5,546.8,
7,B,4,Brown,14,525.2,
8,KF,7,Small,11,153.2,
8,KF,3,Small,,,
8,B,7,Big,,,
8,B,9,Small,,,
9,KF,6,Big,20,1000,(maxxed weighing scale)
9,KF,6,Small,16,334,
9,B,5,Orange,11.5,385,
9,B,5,Brown,12,243.7,
10,KF,4,Orange,13.5,546.8,
10,KF,4,Brown,14,525.2,
10,B,7,Big,,,
10,B,8,Small,11.5,220.9,
11,KF,Sump,Big,19,782,
11,KF,7,Small,11,153.2,
11,B,Sump,Orange,11.5,300,
11,B,6,Small,16,334,
12,KF,4,,,,
12,KF,4,,,,
12,B,5,,,,
12,B,5,,,,